full_text,clean_text,Sentiment
Yailah @CurhatKRL ini krl jaraknye lumayan jauh yg masuk cuman sf08 @CommuterLine @PTKAI https://t.co/0I5ne5JRNB,yailah curhatkrl krl jaraknye lumayan jauh yg masuk cuman sf commuterline ptkai httpstcoinejrnb,neutral
Manajer Humas PT KAI Daop 4 Semarang Franoto Wibowo di Semarang Selasa mengatakan satu dari dua jalur rel perlintasan tersebut telah selesai diperbaiki pada Selasa petang. #jalurkeretagrobogan #ptkai #semarang https://t.co/E667svtVBV,manajer humas pt kai daop semarang franoto wibowo semarang selasa kata satu dua jalur rel lintas sebut selesai baik selasa petang jalurkeretagrobogan ptkai semarang httpstcoesvtvbv,neutral
@likromiahooy keren sama ptkai dah,likromiahooy keren sama ptkai dah,positive
@CurhatKRL Sisi kanan kiri lagi tunggu krl Di st tebet ini bkn soal gapeka 2025 tapi krl yg dipake cuman sf08!! @CommuterLine @PTKAI https://t.co/PNSOdrUp96,curhatkrl sisi kanan kiri tunggu krl st tebet bkn soal gapeka krl yg dipake cuman sf commuterline ptkai httpstcopnsodrup,negative
ΡΤ ΚΑΙ Commuter bakal segera mengoperasikan 12 rangkaian KRL baru yang baru saja datang dari China setelah melewati serangkaian uji coba oleh Kemenhub https://t.co/K1JFslFrhs #PTKAI #Kemenhub #Bahlil,commuter bakal segera operasi rangkai krl baru baru datang china lewat rangkai uji coba kemenhub httpstcokjfslfrhs ptkai kemenhub bahlil,neutral
KERETA API (KA) rute Semarang-Surabaya masih menerapkan pola perjalanan memutar. PT KAI menyebut ada 30 perjalanan KA Semarang-Surabaya harus memutar hingga 5 Februari. #keretaapi #ptkai #Semarang #Surabaya #grobogan https://t.co/R1QZjkxGOz,kereta api ka rute semarangsurabaya terap pola jalan putar pt kai sebut jalan ka semarangsurabaya putar hingga februari keretaapi ptkai semarang surabaya grobogan httpstcorqzjkxgoz,neutral
Hari Senin jadwal gapeka 2025 bbrp jadwal krl bogor ilang bikin jarak krl jauh krl yg masuk cuman sf08 lagih yg masuk akal lah kalo buat jadwal @CommuterLine @PTKAI @CurhatKRL,hari senin jadwal gapeka bbrp jadwal krl bogor ilang bikin jarak krl jauh krl yg masuk cuman sf lagih yg masuk akal lah kalo buat jadwal commuterline ptkai curhatkrl,neutral
#konteksinfo - Daftar Kereta Api Pengangkut Penumpang Terbanyak di 2024. (Zd) #ka #kai #ptkai #keretaapi #keretaapiindonesia #keretaapiindonesiapersero #ptkeretaapiindonesia #ptkeretaapiindonesiapersero #kajoglosemarkerto #kamatarmaja #kakertajaya #kajayakarta #stasiunmalang https://t.co/bdbA7Xau6N,konteksinfo daftar kereta api angkut tumpang banyak zd ka kai ptkai keretaapi keretaapiindonesia keretaapiindonesiapersero ptkeretaapiindonesia ptkeretaapiindonesiapersero kajoglosemarkerto kamatarmaja kakertajaya kajayakarta stasiunmalang httpstcobdbaxaun,neutral
Solo menggebrak lagi !!! Unit baru kereta api jurusan solo - wonogiri semoga sukses dan semakin menambah manfaat di dunia transportasi soloraya #ptkai #keretaapi #citytrain #railfans #keretasolowonogiri #stasiunpurwosari #cfdsolo https://t.co/SBPiV1asZJ,solo gebrak unit baru kereta api jurus solo wonogiri moga sukses makin tambah manfaat dunia transportasi soloraya ptkai keretaapi citytrain railfans keretasolowonogiri stasiunpurwosari cfdsolo httpstcosbpivaszj,positive
Siap-siap! KAI resmi menghadirkan 5 kereta api baru gais. Yuk kepoin daftar kereta api barunya! #Kereta #PTKAI #MedcomId #MudaMemberiArti https://t.co/K0fMhMIcSq,siapsiap kai resmi hadir kereta api baru gais yuk poin daftar kereta api baru kereta ptkai medcomid mudamemberiarti httpstcokfmhmicsq,neutral
